45	"Only one species in this genus, _A. indica_ (Silvestri), has been recorded from tephritid hosts."	"0000-00-00 00:00:00"	"2004-11-04 11:45:13"	""		
46	"Type species: _Doryctobracon conjungens_ <ref id=QQQQ1231QQQQ>Enderlein, 1920</ref> (original designation)."	"0000-00-00 00:00:00"	"2005-01-23 18:25:37"	"wharton"		
47	"Occipital carina absent (Figs. 1, 2). Labrum varying from almost completely concealed to partially but distinctly exposed below ventral margin of clypeus; ventral margin of clypeus varying from very weakly sinuate, nearly truncate to strongly sinuate and produced ventrally to form a distinct median tooth or lobe. First flagellomere almost always shorter than second, and first flagellomere with dense patch of close-set, curved placode sensilla on outer side. Propleuron always without oblique carina dorsad propleural flange. Notauli deep at anterior margin in nearly all species, weak to absent posteriorly, rarely meeting in a weak, median pit (midpit usually absent); notauli always unsculptured. Postpectal carina absent. Hind tibia dorso-posteriorly without basal carina. Fore wing (Fig. 3) with second submarginal cell short; m-cu arising basad or directly in line with 2RS, only very rarely (1% of specimens in certain species) arising distad 2RS. Hind wing (Fig. 4) with RS absent basally, represented only by an infumate crease distally in a few species; m-cu long, well-developed though not tubular, nearly reaching wing margin, usually represented by a well-pigmented crease. Metasomal terga always unsculptured beyond petiole. Ovipositor always very long (Figs. 5, 6). For additional details, see <ref id=QQQQ955QQQQ>Wharton (1997)</ref>."	"0000-00-00 00:00:00"	"2005-01-23 18:25:37"	"wharton"		
48	"The best known and most widespread species, _D. crawfordi _(Viereck) and _D. areolatus _(Szépligeti), attack tephritid pests (primarily members of the genus _Anastrepha_) in a variety of cultivated and native edible fruits in Latin America. There are also several other species that are known to attack fruit-infesting tephritids (<ref id=QQQQ738QQQQ>Wharton and Marsh 1978</ref>). However, at least one species attacks tephritids in stems and one other species (undescribed) is only known to attack a species of tephritid breeding in flower heads."	"0000-00-00 00:00:00"	"2005-01-23 18:25:37"	"wharton"		
49	"Available information suggests that all species of _Doryctobracon_ attack late instar larvae of their host tephritids; and as in all other Opiinae, they emerge from the host puparium.XXXXXXXXMales of the species of _Doryctobracon_ examined thus far share with _Fopius_ and _Diachasmimorpha_ paired Hagen's glands with exceptionally long, thin filaments. These glands occupy much of the lateral portions of the abdominal cavity. For further comments about these glands, see _Diachasmimorpha_ text."	"0000-00-00 00:00:00"	"2004-11-04 11:45:13"	""		
51	"_Doryctobracon_ is readily distinguished from other taxa with small second submarginal cells by the absence of an occipital carina, the sinuate margin of the clypeus, relatively reduced notauli, and the origin of fore wing m-cu basad or directly in line with 2RS. The species of _Doryctobracon_ also have shorter, thicker flagellomeres clothed with shorter, thicker setae than do nearly all species of <a href=QQQQ./?taxcpl=tax&amp;taxcpl_id=7513QQQQ>_Diachasmimorpha_</a>, <a href=QQQQ./?taxcpl=tax&amp;taxcpl_id=7512QQQQ>_Fopius_</a>, <a href=QQQQ./?taxcpl=tax&amp;taxcpl_id=7508QQQQ>_Rhynchosteres_</a>, and <a href=QQQQ./?taxcpl=tax&amp;taxcpl_id=7462QQQQ>_Psyttalia_</a>. Further, they have a shelf formed behind a carinate flange where the anterior declivity of the mesonotum meets the pronotal collar dorsally."	"0000-00-00 00:00:00"	"2004-11-04 11:45:13"	""		
52	"_Aceratoneuromyia indica_ is a gregarious, koinobiont endoparasitoid. The female wasp oviposits into late instar larvae and the progeny emerge from the puparium of the host.   Detailed biological information on this species has been published by Silvestri [<ref id=QQQQ884QQQQ>Silvestri (1913)</ref> (Italian version) and <ref id=QQQQ810QQQQ>Silvestri (1914)</ref> (English version)]. Development during summer months in the Mediterranean region is as short as 2-3 weeks."	"0000-00-00 00:00:00"	"2007-07-12 09:47:11"	"wharton"		
53	"_A. indica_ has been widely used in biological control of tephritid pests both in the New and Old World.  It was initially described from material collected by G. Compere, who released it in Western Australia against medfly.  Compere also sent cultures to Silvestri in Italy (as early as 1909, though this first release was unsuccessful) and Lounsbury in South Africa.XXXXXXXXA listing of _A. indica_ introductions in the New World for biological control is provided below summarized from <ref id=QQQQ1216QQQQ>Ovruski, Aluja, Sivinski, and Wharton 2000</ref>:XXXXXXXXMexico--introduced in 1955 against _Anastrepha ludens, A. obliqua_; specimens recovered, established (<ref id=QQQQ1286QQQQ>Clausen 1978</ref>, <ref>Jimenz-Jimenz 1959</ref>, <ref>Jimenz-Jimenz 1961</ref>). XXXXCosta Rica--introduced in 1955 against _Ceratitis capitata_; specimens recovered, established (<ref>Vaughn 1992</ref>, <ref id=QQQQ19504QQQQ>Wharton 1989</ref>, <ref id=QQQQ843QQQQ>Wharton et al. 1981</ref>).XXXXNicaragua--introduced in 1958, 1971 against _Anastepha_ spp. and _C. capitata_; specimens recovered, established (<ref>Vaughn 1992</ref>, <ref id=QQQQ843QQQQ>Wharton et al. 1981</ref>).XXXXArgentina--introduced in 1961, 1986 against _C. capitata, A. fraterculus_; specimens recovered, established (<ref>Altieri et al. 1989</ref>, <ref id=QQQQ2594QQQQ>Ovruski 1995</ref>, <ref id=QQQQ1030QQQQ>Turica 1968</ref>).XXXXBolivia--introduced in 1969 against _C. capitata, Anastrepha_ spp.; specimens recovered, established (<ref>Altieri et al. 1989</ref>, <ref>Bascope 1994</ref>, <ref>Pruett 1996</ref>, <ref>Vaughn 1992</ref>).XXXXPanama--introduced in 1971 against _C. capitata, Anastrepha_ spp.; (<ref id=QQQQ843QQQQ>Wharton et al. 1981</ref>).XXXXVenezuela--introduced in ? against _Anastrepha_ spp.; specimens recovered, established (<ref>Hentze et al. 1993</ref>)."	"0000-00-00 00:00:00"	"2007-07-12 09:52:42"	"wharton"		
54	"_Tetrastichus giffardii_ <ref id=QQQQ884QQQQ>Silvestri, 1913</ref>: 205-206."	"0000-00-00 00:00:00"	"2005-01-28 13:17:53"	"wharton"		
56	"All across central (equatorial) Africa, with documented records from Benin, Cameroon, Congo, Ghana, Kenya, Nigeria, and Uganda (<ref id=QQQQ2613QQQQ>LaSalle and Wharton 2002</ref>)."	"0000-00-00 00:00:00"	"2005-03-18 09:44:17"	"wharton"		
